name,type,district,sub_district,address,phone,email,website,operator,lat,lon,osm_id,source
"Primary Health Centre, Kadampanad",Primary Health Centre (PHC),Pathanamthitta,,"kunnathur, kunnathur,kadampanad, pathanamthitta, kerala, 691552",,,,department of health service,9.0889608,76.700331,way/799785000,OpenStreetMap
"Primary Health Centre, Kaviyoor",Primary Health Centre (PHC),Pathanamthitta,,"kaviyoor, thiruvalla, pathanamthitta, kerala, 689582",,,,department of health services,9.3978234,76.6057705,way/799791763,OpenStreetMap
"Primary Health Centre, Kokkathodu",Primary Health Centre (PHC),Pathanamthitta,,"ezhumattoor, pathanamthitta, kerala, 689586",,,,department of health sevice,9.1945412,76.9728305,way/799801519,OpenStreetMap
"Primary Health Centre,Kottoor",Primary Health Centre (PHC),Pathanamthitta,,"Thondara Bridge Across Manimal River, kuttoor, pathanamthitta, kerala, 689106",,,,department of health services,9.3613638,76.5866768,way/905695195,OpenStreetMap
"Public Health Centre,Omalloor",Hospital,Pathanamthitta,,"Omallur-Elavumthitta Road, pathanamthitta, pathanamthitta, kerala, 689647",,,,Government,9.2474012,76.7512132,way/905790652,OpenStreetMap
"Public Health Centre,Pandalam",Hospital,Pathanamthitta,,"Pandalam - Pathanamthitta, pathanamthitta, pathanamthitta, kerala, 689501",,,,government,9.2235882,76.6866302,way/905794740,OpenStreetMap
24*7 Primary Health Care Cherthala South,Primary Health Centre (PHC),Alappuzha,,,+91-47802572533,,,DEPARTMENT OD HEALTH SERVICES,9.6542048,76.2996281,way/800255004,OpenStreetMap
24x7 Govt Primary Health centre Palappetty,Primary Health Centre (PHC),Malappuram,,,,,,DHS(DEPARTMENT OF HEALTH SERVICES),10.6986389,75.9606899,node/4124941674,OpenStreetMap
24x7 Govt Primary Health centre Vazhayur,Primary Health Centre (PHC),Malappuram,,,,,,DHS(DEPARTMENT OF HEALTH SERVICES),11.2232104,75.9015049,node/7479082230,OpenStreetMap
24X7 PHC Vattiyoorkavu,Primary Health Centre (PHC),Thiruvananthapuram,,,,,,Department of Health Services,8.5257152,77.0060976,node/7489692985,OpenStreetMap
24x7 Primary Health Centre Ezhupunna,Primary Health Centre (PHC),Alappuzha,,,+91-478 287 7699,ezhupunnaphc@yahoo.in,,Department of health services,9.8312102,76.2971579,way/620215797,OpenStreetMap
"24x7 Primary Health Centre, Koottumughm",Primary Health Centre (PHC),Kannur,,,,,,,12.0525605,75.5306558,node/9066141205,OpenStreetMap
"24×7 Primary Health Centre, Cherykunnu",Primary Health Centre (PHC),Kannur,,Pilathara - Pazhayangadi - Pappinisseri,,,,Government,11.9888099,75.3054709,way/799609983,OpenStreetMap
"24×7 Primary health centre, Kelakam",Primary Health Centre (PHC),Kannur,,,,,,Government,11.9001654,75.8131351,node/7479298278,OpenStreetMap
"24×7 Primary health centre, Koodali",Primary Health Centre (PHC),Kannur,,,,,,Government,11.9228113,75.4801866,node/7479274356,OpenStreetMap
"24×7 Primary health centre, Naduvil",Primary Health Centre (PHC),Kannur,,,,,,Government,12.1228978,75.4801785,node/7479347919,OpenStreetMap
"24×7 Primary health centre, Parassinikadavu",Primary Health Centre (PHC),Kannur,,Parassininkkadavu Road,,,,Government,11.984397,75.4008169,node/7479328159,OpenStreetMap
"24×7 Primary health centre, Udayagiri",Primary Health Centre (PHC),Kannur,,Udayagiri-Cherupuzha,,,,Government,12.2364204,75.4827266,node/7479317954,OpenStreetMap
aashvas laboratory,Laboratory,Thiruvananthapuram,,"Malayankeezhu-Kattakada Road, malayinkeezhu, 695571",,,,central government,8.4899266,77.0383956,node/7633078636,OpenStreetMap
"Aayush phc, kannapuram",Primary Health Centre (PHC),Kannur,,,,,,,11.989309,75.3066794,node/8399743563,OpenStreetMap
Adakkaputhur Government Hospital,Hospital,Palakkad,,,,,,,10.8716195,76.3748653,node/10783632594,OpenStreetMap
Al Abeer Medical College Proposed site,Medical College,Malappuram,,,,,,,11.0871073,76.0811376,node/8756181217,OpenStreetMap
Al-Azhar Medical College & Super Speciality Hospital,Medical College,Idukki,,,,,,Department of Health and family Welfare,9.939524,76.720604,node/9001039926,OpenStreetMap
"Alangad Medical Centre And Micro-Bio Lab,Kongorpilly",Clinic,Ernakulam,,,,,,public,10.121906,76.2999201,node/9022677734,OpenStreetMap
Alapuzha Government Hospital,Hospital,Alappuzha,,,,,,,9.487803,76.3224164,node/8869720305,OpenStreetMap
Anakkapilla Sub Center,Clinic,Thiruvananthapuram,,St Andrews Road,,,,Government,8.5716576,76.8478166,way/1204164686,OpenStreetMap
Angadimogaru,Hospital,Kasaragod,,"angadimogaru, Puthige",+91 4998 250292,phcangadimogaru@gmail.com,,DEPARTMENT OF HEALTH SERVICE,12.6197891,75.0309339,node/7470915046,OpenStreetMap
ANIMAL DISEASE CONTROL PROJECT THRISSUR,Hospital,Thrissur,,"PARAVATTANI, Paravattani - Nellikunnu Rd, THRISSUR, 680005",,,,GOVERNMENT OF KERALA,10.5202667,76.2415681,node/5449525984,OpenStreetMap
Annamanada Ayush Phc (Homoeo),Primary Health Centre (PHC),Thrissur,,"Annamanada Mala Road, Annamanada, 680741",,,,gov,10.2383046,76.3267975,node/8118034804,OpenStreetMap
APHC(NHM)HOMOEO PUDUKKAD,Primary Health Centre (PHC),Thrissur,,"Salem-Kochi-Kanyakumari Highway, pudukad, 680301",,,,GOVERNMENT,10.4252911,76.2678905,node/8116442019,OpenStreetMap
Appad Sub center,Hospital,Wayanad,,,,,,Health and family welfare,11.6935542,76.1754739,node/8002434909,OpenStreetMap
Aravalli Center For Health And Medical Services,Doctor's Office,Kasaragod,,,+91 94972 03698,,,Central University of Kerala,12.3899973,75.0949692,way/1086850924,OpenStreetMap
Aroga Upa Kendram Mankuva,Clinic,Idukki,,"Mankuva, Mankuva",,,,government,9.9296896,76.9935556,way/964353698,OpenStreetMap
Arogya Upakendram Kallippara,Clinic,Idukki,,"kallippara, kallippara",,,,government,9.9050955,77.0372272,way/982712633,OpenStreetMap
Arogya Upakendram Melechinnar,Centre,Idukki,,"Melechinnar, Melechinnar",,,,government,9.8748167,77.0889185,node/9094617146,OpenStreetMap
Arogya Upakendram Thopramkudy,Centre,Idukki,,"Thopramkudy, Thopramkudy",,,,Government,9.8797001,77.0600304,way/982445333,OpenStreetMap
Arogyakeralam Wayanad,Hospital,Wayanad,,"Kainatty, Kalpetta, 673122",+91-4936202771,dpmwynd@gmail.com,,National Health Mission,11.6350234,76.0902421,node/7999419714,OpenStreetMap
Aspel Medcity Hospital,Yes,Malappuram,,"Ponnani-Chavakkad-Kodungallur Highway, Veliancode, 679579",,,,corporation,10.7322226,75.9456867,way/950167547,OpenStreetMap
Ayancheri FHC,Family Health Centre (FHC),Kozhikode,,,,,,,11.6468843,75.664865,node/10106414663,OpenStreetMap
Aymanam Gramapanchayat  Family Health Centre Veliad,Family Health Centre (FHC),Kottayam,,,,,,government,9.6316254,76.4815402,way/987274612,OpenStreetMap
Ayurvedha Dispensary,Govt Dispensary,Ernakulam,,,,,,Government,10.1125591,76.2293049,node/8880492891,OpenStreetMap
Ayurvedha Dispensary,Govt Dispensary,Palakkad,,"pattisery road, Chalissery, 679536",,,,Government,10.7375722,76.0882367,way/985503919,OpenStreetMap
Ayurvedha Dispensary Mekozhoor,Govt Dispensary,Pathanamthitta,,"Mekozhoor Junction, Pathanamthitta, 689678",,,,Government,9.3135803,76.7947703,node/8675331833,OpenStreetMap
"Ayurvedha Dispensary, Pakkam",Govt Dispensary,Kasaragod,,"Kannamvayal, Pakkam, Pallikkare, 671316",+91-467 2272225,,,Govrnment,12.4001539,75.0616999,way/822442821,OpenStreetMap
Ayurvedha Dispensery Thrikkalangod,Clinic,Malappuram,,,,,,government,11.155488,76.1670807,way/974381371,OpenStreetMap
ayurvedha hospital ground mundayamparambu,Hospital,Kannur,,,,,,hospital authority,12.0122443,75.7250144,node/8401492813,OpenStreetMap
Ayurvedha Hospital Vadakkekkara,Hospital,Ernakulam,,,,,,government,10.1766072,76.1970036,way/972325611,OpenStreetMap
AYUSH AYUREVEDA PHC-NHM  PATHANAPURAM,Primary Health Centre (PHC),Kollam,,"AYUSH AYURVEDA PHC -NHM PATHANAPURAM, Pattazhy - Pathanapuram, KUNDAYAM, 689695",,,,,9.0801246,76.8420373,way/866866612,OpenStreetMap
Ayush Health Care Center,Hospital,Ernakulam,,,,,,Kothamangalam Municipality,10.0488197,76.6140926,node/9409091807,OpenStreetMap
AYUSH HOMEO PHC VANDENMEDU,Primary Health Centre (PHC),Idukki,,,,,,,9.7340537,77.176557,node/8325319074,OpenStreetMap
Ayush Homeopathy PHC,Primary Health Centre (PHC),Kottayam,,"NH 183, Kodungoor, 686504",,,,government,9.5661945,76.706714,node/9085547623,OpenStreetMap
Ayush National Health Mission Primary Health Centre Homeopathy,Primary Health Centre (PHC),Kannur,,"Moonuperiya Chakkarakkal Road, chakkarakal, 670613",,,,gramapanchayath,11.8891755,75.4705171,node/8752914544,OpenStreetMap
Ayush PHC Homeo Dispensary,Primary Health Centre (PHC),Kottayam,,,,,,,9.7156213,76.3989778,way/620312121,OpenStreetMap
"ayush phc homeo, muzhapilangad",Primary Health Centre (PHC),Kannur,,,,,,,11.7974402,75.4518901,node/9167735169,OpenStreetMap
Ayush PHC Homoeo,Primary Health Centre (PHC),Thrissur,,"Northern outer ring Road Guruvayur, Guruvayoor, 680101",,,,Government,10.5969087,76.0426248,node/7428553196,OpenStreetMap
AYUSH PHC HOMOEO KODASSERY,Primary Health Centre (PHC),Thrissur,,"Near Panchayath, Chalakudy Vellikulangara Road, Chettikulam, 680721",,,,,10.3431333,76.3945927,node/8119956610,OpenStreetMap
AYUSH PHC HOMOEO PERINJANAM,Primary Health Centre (PHC),Thrissur,,"Panchayat Road, Chakkarapadom, Perinjanam GP, 680686",,,,,10.305805,76.1594782,node/8137551058,OpenStreetMap
Ayush PHC Homoeo Pookode,Primary Health Centre (PHC),Thrissur,,"Old society stop, Guruvayoor - Althara - Ponnani Road, Thampuranpadi, 680505",,,,,10.6242672,76.026012,node/8120189044,OpenStreetMap
ayush phc Kanhirode Homeopathy Health Centre,Primary Health Centre (PHC),Kannur,,,,,,,11.9182832,75.4640899,node/9362208599,OpenStreetMap
ayush phc Kathikudam,Primary Health Centre (PHC),Thrissur,,"137, Kathikudam, chalakudy, Kathikudam",,,,,10.2590563,76.3278085,node/9424597962,OpenStreetMap
AYUSH PHC KODASEERI HOMOEO,Primary Health Centre (PHC),Thrissur,,"Near Kodaseeri Panchayath, Chalakudy Vellikulangara Road, Chettikulam, 680721",,ayushkodasserihomoeo@gmail.com,,,10.3430982,76.3945867,way/618143960,OpenStreetMap
AYUSH PHC MANALUR HOMOEO,Primary Health Centre (PHC),Thrissur,,"kanjany busstand bus route, Kanjany, 680612",,,,,10.4777255,76.114134,node/7076855312,OpenStreetMap
AYUSH PHC NENMANIKKARA HOMOEO,Primary Health Centre (PHC),Thrissur,,"Urakam-Pudukad road,Nenmanikkara, NENMANIKKARA,THRISSUR, 680131",,ayushnenmanikkarahomoeo@gmail.com,,AYUSH,10.4223059,76.2507609,node/8111952278,OpenStreetMap
Ayush PHC pooyappally,Primary Health Centre (PHC),Kollam,,"pooyappally, Pooyappally, 691537",,,,government,8.9082806,76.762142,way/865715257,OpenStreetMap
"ayush phc,Karthikapuram",Primary Health Centre (PHC),Kannur,,,,,,,12.2290828,75.4830591,node/10073358588,OpenStreetMap
"Ayush Primary Health Cente, Homeo Dispencery",Primary Health Centre (PHC),Kasaragod,,Pallapaady,,,,,12.5927551,75.1742182,way/1094009509,OpenStreetMap
Ayush Primary Health Center,Primary Health Centre (PHC),Kannur,,,,,,,11.9784744,75.3144377,node/9156874103,OpenStreetMap
Ayush Primary Health Center Homeopathy,Primary Health Centre (PHC),Malappuram,,"Valanchery-Koppam Road, Valanchery, 676552",,,,,10.8811395,76.0787913,way/1005122237,OpenStreetMap
Ayush Primary Health Center Homeopathy Hospital,Primary Health Centre (PHC),Ernakulam,,,,,,,10.1431938,76.57295,node/8931154124,OpenStreetMap
"Ayush Primary Health Center, Ezhome",Primary Health Centre (PHC),Kannur,,Taliparamba-Pazhangadi,,,,,12.0510936,75.3276506,node/9339562062,OpenStreetMap
AYUSH PRIMARY HEALTH CENTR ( HOMEOPATHY),Primary Health Centre (PHC),Kozhikode,,,,,,,11.3884543,75.8483988,node/10067985295,OpenStreetMap
Ayush Primary Health Centre (Homeopathy),Primary Health Centre (PHC),Kannur,,,,,,Pariyaram Grama Panchayat,12.0687532,75.3533711,node/9355383598,OpenStreetMap
"Ayush Primary Health Centre ,Balanthode",Primary Health Centre (PHC),Kasaragod,,,,,,,12.4592902,75.3216342,node/8321453392,OpenStreetMap
AYUSH Primary Health Centre Homeopathy Kadukutty Vynthala Homoeo Dispensery,Primary Health Centre (PHC),Thrissur,,,,,,Government,10.2591342,76.3030196,node/8170855743,OpenStreetMap
ayush primary health centre homoeo mullasseri,Primary Health Centre (PHC),Thrissur,,"Amala Nagar - Pavaratty Road, thrissur, 680508",,,,,10.5555157,76.0984986,node/8119739238,OpenStreetMap
Ayush Primary Health Centre Triprangode,Primary Health Centre (PHC),Malappuram,,"Govt Primary Health Centre, Alingal, Triprangode Po, 676108",,,,Department of health serveice,10.8511376,75.9412994,node/7486268954,OpenStreetMap
Believers Church Medical College Hospital,Medical College,Pathanamthitta,,,+91-4692703100,,https://www.bcmch.org,,9.4164376,76.5753808,way/480615561,OpenStreetMap
Biocare Certified Medical Laboratory;Family Health Centre,Family Health Centre (FHC),Pathanamthitta,,"BIOCARE, NABH Certified Medical Laboratory, Govt. hospital road, pandalam, 689501",,,,private,9.2245621,76.682552,way/785904546,OpenStreetMap
Block B (Kusavarkal Primary Health Centre),Primary Health Centre (PHC),Thiruvananthapuram,,,,,,,8.5470221,76.9503587,way/923424535,OpenStreetMap
Buds Rehabilitation Centre,Rehabilitation,Kannur,,"kannur, 670621",,,,gramapanchayath,11.8632347,75.4455249,way/946736133,OpenStreetMap
Bweekly Dispensary Valiyappoil,Govt Dispensary,Kasaragod,,"Njanakai-Cheemeni, kodakkad, 671310",,,,Department of Health Service,12.2109425,75.2147483,node/7473060945,OpenStreetMap
"Bweekly dispensary, thrikkarippur",Govt Dispensary,Kasaragod,,"Chandera -Trikaripur -Olavara Rd, Thrikkarippur, 671310",,,,Department of health service,12.1436998,75.1812053,node/7473060946,OpenStreetMap
Central Prison Dispensary,Govt Dispensary,Thrissur,,"Thrissur, 680009",,,,government,10.5547639,76.2182552,way/824602450,OpenStreetMap
Chalakudy Government Hospital,Hospital,Thrissur,,,,,,,10.2969956,76.3409606,way/1335988056,OpenStreetMap
chambakkara primary health centre,Primary Health Centre (PHC),Ernakulam,,"chambakkara primary health centre, chambakkara, Ernakulam, 682308",,,,,9.9542828,76.3289044,node/8356502481,OpenStreetMap
Chazhiyod Sub Center,Clinic,Malappuram,,,,,,Government,11.1599661,76.3225464,way/958388942,OpenStreetMap
CHC Bedadka,Community Health Centre (CHC),Kasaragod,,"kudamkuzhi -bedadka road, bedadka, 671541",,,,Department of health service,12.4605433,75.1677874,way/785041981,OpenStreetMap
CHC Chathankary,Community Health Centre (CHC),Pathanamthitta,,,,,,DHS,9.383748,76.5266278,way/628314833,OpenStreetMap
Chc Edathuva,Community Health Centre (CHC),Alappuzha,,,,chcedathua@gmail.com,,04772210750,9.3650487,76.4773317,node/7485511255,OpenStreetMap
CHC KODUVAYUR,Community Health Centre (CHC),Palakkad,,,,,,,10.6896508,76.6599469,node/8903377517,OpenStreetMap
CHC Koorachundu,Community Health Centre (CHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.5376341,75.8415463,node/3028236949,OpenStreetMap
CHC Neduva,Community Health Centre (CHC),Malappuram,,,,,,govt,11.0768031,75.851873,node/2169569578,OpenStreetMap
CHC Perumkadavila,Community Health Centre (CHC),Thiruvananthapuram,,"perumkadavila-paliyode road, Perumkadavila, 695124",,,,Department of Health and Family Welfare,8.4414749,77.1110646,node/8995195332,OpenStreetMap
CHC Pulluvila,Community Health Centre (CHC),Thiruvananthapuram,,,,,,Department of Health and Family Welfare,8.3467271,77.0377856,node/8995195330,OpenStreetMap
CHC pulpally,Community Health Centre (CHC),Wayanad,,,,,,,11.7941324,76.1652103,way/804135039,OpenStreetMap
CHC Purathur,Community Health Centre (CHC),Malappuram,,,,,,,10.8280813,75.9223985,node/9099801453,OpenStreetMap
CHC Thanneermukkom,Community Health Centre (CHC),Alappuzha,,,+91-478 2584404,motkmchc@gmail.com,,Department of Health Services,9.676436,76.3932861,node/7477933847,OpenStreetMap
CHC Thycattussery,Community Health Centre (CHC),Alappuzha,,,,,,DEPARTMENT OF HEALTH SERVICES,9.7749237,76.3400369,way/799548975,OpenStreetMap
CHC Vechoochira,Community Health Centre (CHC),Pathanamthitta,,,,,,DHS,9.4272032,76.8531401,way/799805095,OpenStreetMap
Chc Veliyanad,Community Health Centre (CHC),Alappuzha,,,+91-477 2753228,chcveliyanadu@gmail.com,,Department of Health Services,9.4511953,76.4697604,node/7485626460,OpenStreetMap
CHC Vellarada,Community Health Centre (CHC),Thiruvananthapuram,,,,,,Department of Health and Family Welfare,8.4519775,77.196313,node/8995195331,OpenStreetMap
"CHC, THOTTAKADU",Community Health Centre (CHC),Kottayam,,"Kottayam-Kozhencherry Highway, Thottacadu,Kottayam, 686539",+91-481-2462370,chcthottakkadu@gmail.com,,Department of Health Services,9.5346358,76.601663,way/798895346,OpenStreetMap
Cheerankunnu Sub center,Hospital,Wayanad,,,,,,haelth and family welfare,11.6544507,76.1598316,node/8002648770,OpenStreetMap
Chelannur General Hospital (Dr.Sushama),General Hospital,Kozhikode,,,,,,Department of Health and Family Welfare,11.3580224,75.8047037,node/7500031544,OpenStreetMap
Chelannur Primary Health Centre,Primary Health Centre (PHC),Kozhikode,,,,,,,11.3638635,75.8239741,way/800972503,OpenStreetMap
Chelora Primary Health Centre,Primary Health Centre (PHC),Kannur,,Kannur - Mattannur Road,,,,Government,11.900191,75.4311085,node/7480323478,OpenStreetMap
"Chest Diseases Hospital, Pulayanarkottah",Hospital,Thiruvananthapuram,,,,,,Department of Health services,8.5193675,76.9137762,way/800773987,OpenStreetMap
Chittariparamb PHC,Primary Health Centre (PHC),Kannur,,Thalasseri - Bavali Road,,,,Government,11.843964,75.6294826,node/7492119661,OpenStreetMap
Chokli Primary Health Centre,Primary Health Centre (PHC),Kannur,,,,,,Government,11.7122717,75.5631166,node/7480808387,OpenStreetMap
choothupara sub center,Hospital,Wayanad,,,,,,health and family welfare,11.702407,76.1615233,node/8002448926,OpenStreetMap
"CKM Community Health Centre ,Mayyanad",Community Health Centre (CHC),Kollam,,0474-2555050,,,,Department of Health Services,8.8425619,76.6462815,way/799252621,OpenStreetMap
"CKM Community Health Centre, Mayyanad",Community Health Centre (CHC),Kollam,,,,,,,8.8421786,76.6463035,way/978673390,OpenStreetMap
Coastal Speciality Hospital Valiyathura,Hospital,Thiruvananthapuram,,,,,,Department of Health services,8.4633998,76.9270475,way/797896917,OpenStreetMap
